N,Area,Deviation
63100,0.945042789223455,-0.000556478306417131
63600,0.945665448113208,-0.00121571341515676
64100,0.950258892355694,-0.00607898568914117
64600,0.943919582043344,0.000632708292703796
65100,0.943304723502304,0.00128368484476523
65600,0.945255182926829,-0.000781348437469522
66100,0.939979878971256,0.00480383734244813
66600,0.939381081081081,0.00543780980913686
67100,0.945309836065574,-0.000839212010055006
67600,0.946325036982249,-0.00191404784346344
68100,0.944863215859031,-0.000366356446164296
68600,0.945521501457726,-0.00106331104743849
69100,0.945510890014472,-0.00105207626694681
69600,0.941598814655173,0.00308980216332633
70100,0.940758380884451,0.00397960468176478
70600,0.944524822946176,-8.08566199339844e-06
71100,0.940420253164557,0.00433759469501354
71600,0.944721892458101,-0.000216731428176272
72100,0.944995319001387,-0.000506219589289976
72600,0.946143595041322,-0.00172194764281596
73100,0.940070930232558,0.0047074375493456
73600,0.938711311141304,0.00614692336448093
74100,0.947601619433199,-0.003265619281239
74600,0.943082674262735,0.00151877769737226
75100,0.945807123834887,-0.00136571144991374
75600,0.948857142857143,-0.00459489464296657
76100,0.94592779237845,-0.00149346830321846
76600,0.945630058746736,-0.00117824520706101
77100,0.948456420233463,-0.00417063277705013
77600,0.939785277061856,0.00500987055423632
78100,0.945016421254802,-0.000528561430952379
78600,0.942482919847328,0.00215376287748323
79100,0.944013527180784,0.000533244631435689
79600,0.943945100502513,0.000605690828596385
80100,0.946744382022472,-0.00235802604363139
80600,0.945438833746898,-0.000975787271204678
81100,0.941025739827374,0.00369654054390227
81600,0.943478768382353,0.00109941622303226
82100,0.948920919610232,-0.00466241776911056
82600,0.943706386198547,0.000858427684557406
83100,0.937918592057762,0.00698620834031524
83600,0.949335017942584,-0.00510084105937387
84100,0.947353269916766,-0.00300268122130713
84600,0.9487125,-0.00444175517731986
85100,0.947635752056404,-0.00330175692247548
85600,0.942355987149533,0.00228815185387305
86100,0.945604442508711,-0.00115112422037281
86600,0.944248614318707,0.000284348008449546
87100,0.941883065442021,0.00278885392110081
87600,0.94616044520548,-0.00173978761905859
88100,0.945920942111237,-0.0014862156377143
88600,0.941755276523702,0.00292414941410655
89100,0.943404545454546,0.00117799915293063
89600,0.942513197544643,0.0021217066081357
90100,0.941469922308546,0.00322626590220859
90600,0.946010264900662,-0.00158078542507081
91100,0.941958424807903,0.00270906779649908
91600,0.943223335152839,0.0013698541074115
92100,0.946591856677525,-0.00219654105720182
92600,0.944708423326134,-0.000202471092665467
93100,0.944978974221268,-0.000488914684346499
93600,0.937672355769231,0.00724690903714422
94100,0.944155712008502,0.000382707584741023
94600,0.945079915433404,-0.000595785383623733
95100,0.944346293375395,0.000180931090106485
95600,0.945774555439331,-0.00133122992216358
96100,0.941802003121748,0.00287467800295201
96600,0.947492468944099,-0.00315005707577722
97100,0.94580429969104,-0.0013627214102525
97600,0.939894620901639,0.00489410364028701
98100,0.949037614678899,-0.0047859677377186
98600,0.950601952332657,-0.00644219769002842
99100,0.945768995963673,-0.00132534387187196
99600,0.945632304216868,-0.00118062258056419
